# filename: /home/lepecvd/lepecvd/11355/xray/2.0deg-2.0deg-rsm-3h10m_11355-E5_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.7178	86.2526	0.46	0.10	-30.00	-20.00	7.373	5.26753	7.14249	0.0
6.7278	86.2726	0.46	0.10	-30.00	-20.00	7.373	5.26851	7.14382	2.0
6.7378	86.2926	0.46	0.10	-30.00	-20.00	7.373	5.26950	7.14515	2.0
6.7478	86.3126	0.46	0.10	-30.00	-20.00	7.373	5.27048	7.14648	2.0
6.7578	86.3326	0.46	0.10	-30.00	-20.00	7.373	5.27146	7.14781	2.0
6.7678	86.3526	0.46	0.10	-30.00	-20.00	7.373	5.27244	7.14914	2.0
6.7778	86.3726	0.46	0.10	-30.00	-20.00	7.373	5.27342	7.15047	2.0
6.7878	86.3926	0.46	0.10	-30.00	-20.00	7.373	5.27440	7.15180	2.0
6.7978	86.4126	0.46	0.10	-30.00	-20.00	7.373	5.27538	7.15313	0.0
6.8078	86.4326	0.46	0.10	-30.00	-20.00	7.373	5.27636	7.15446	2.0
6.8178	86.4526	0.46	0.10	-30.00	-20.00	7.373	5.27734	7.15579	4.0
6.8278	86.4726	0.46	0.10	-30.00	-20.00	7.373	5.27832	7.15712	2.0
6.8378	86.4926	0.46	0.10	-30.00	-20.00	7.373	5.27930	7.15844	2.0
6.8478	86.5126	0.46	0.10	-30.00	-20.00	7.373	5.28028	7.15977	2.0
6.8578	86.5326	0.46	0.10	-30.00	-20.00	7.373	5.28126	7.16110	2.0
6.8678	86.5526	0.46	0.10	-30.00	-20.00	7.373	5.28224	7.16243	2.0
6.8778	86.5726	0.46	0.10	-30.00	-20.00	7.373	5.28322	7.16376	0.0
6.8878	86.5926	0.46	0.10	-30.00	-20.00	7.373	5.28420	7.16508	0.0
6.8978	86.6126	0.46	0.10	-30.00	-20.00	7.373	5.28517	7.16641	4.0
6.9078	86.6326	0.46	0.10	-30.00	-20.00	7.373	5.28615	7.16774	2.0
6.9178	86.6526	0.46	0.10	-30.00	-20.00	7.373	5.28713	7.16906	0.0
6.9278	86.6726	0.46	0.10	-30.00	-20.00	7.373	5.28811	7.17039	2.0
