# filename: /home/lepecvd/lepecvd/11358/xray/2.0deg-2.0deg-rsm-3h10m_11358-E4_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.6444	86.0124	-0.24	0.13	0.00	-23.01	7.396	5.24992	7.13077	0.0
6.6544	86.0324	-0.24	0.13	0.00	-23.01	7.396	5.25090	7.13210	0.0
6.6644	86.0524	-0.24	0.13	0.00	-23.01	7.396	5.25189	7.13344	0.0
6.6744	86.0724	-0.24	0.13	0.00	-23.01	7.396	5.25287	7.13477	4.0
6.6844	86.0924	-0.24	0.13	0.00	-23.01	7.396	5.25385	7.13611	2.0
6.6944	86.1124	-0.24	0.13	0.00	-23.01	7.396	5.25483	7.13744	2.0
6.7044	86.1324	-0.24	0.13	0.00	-23.01	7.396	5.25581	7.13877	0.0
6.7144	86.1524	-0.24	0.13	0.00	-23.01	7.396	5.25680	7.14011	0.0
6.7244	86.1724	-0.24	0.13	0.00	-23.01	7.396	5.25778	7.14144	2.0
6.7344	86.1924	-0.24	0.13	0.00	-23.01	7.396	5.25876	7.14277	2.0
6.7444	86.2124	-0.24	0.13	0.00	-23.01	7.396	5.25974	7.14410	4.0
6.7544	86.2324	-0.24	0.13	0.00	-23.01	7.396	5.26072	7.14543	0.0
6.7644	86.2524	-0.24	0.13	0.00	-23.01	7.396	5.26170	7.14677	2.0
6.7744	86.2724	-0.24	0.13	0.00	-23.01	7.396	5.26268	7.14810	6.0
6.7844	86.2924	-0.24	0.13	0.00	-23.01	7.396	5.26366	7.14943	2.0
6.7944	86.3124	-0.24	0.13	0.00	-23.01	7.396	5.26464	7.15076	2.0
6.8044	86.3324	-0.24	0.13	0.00	-23.01	7.396	5.26562	7.15209	2.0
6.8144	86.3524	-0.24	0.13	0.00	-23.01	7.396	5.26660	7.15342	0.0
6.8244	86.3724	-0.24	0.13	0.00	-23.01	7.396	5.26758	7.15475	0.0
6.8344	86.3924	-0.24	0.13	0.00	-23.01	7.396	5.26856	7.15608	4.0
6.8444	86.4124	-0.24	0.13	0.00	-23.01	7.396	5.26954	7.15741	6.0
6.8544	86.4324	-0.24	0.13	0.00	-23.01	7.396	5.27052	7.15874	0.0
6.8644	86.4524	-0.24	0.13	0.00	-23.01	7.396	5.27150	7.16007	0.0
6.8744	86.4724	-0.24	0.13	0.00	-23.01	7.396	5.27247	7.16140	0.0
6.8844	86.4924	-0.24	0.13	0.00	-23.01	7.396	5.27345	7.16273	2.0
6.8944	86.5124	-0.24	0.13	0.00	-23.01	7.396	5.27443	7.16406	2.0
6.9044	86.5324	-0.24	0.13	0.00	-23.01	7.396	5.27541	7.16539	2.0
6.9144	86.5524	-0.24	0.13	0.00	-23.01	7.396	5.27639	7.16672	0.0
6.9244	86.5724	-0.24	0.13	0.00	-23.01	7.396	5.27737	7.16805	0.0
6.9344	86.5924	-0.24	0.13	0.00	-23.01	7.396	5.27834	7.16937	0.0
6.9444	86.6124	-0.24	0.13	0.00	-23.01	7.396	5.27932	7.17070	4.0
6.9544	86.6324	-0.24	0.13	0.00	-23.01	7.396	5.28030	7.17203	2.0
6.9644	86.6524	-0.24	0.13	0.00	-23.01	7.396	5.28128	7.17336	0.0
6.9744	86.6724	-0.24	0.13	0.00	-23.01	7.396	5.28225	7.17468	4.0
